summary,kcut,klabel,noise_id,sigma_rad,sigma_tran,n_points,mean_z,min_z,max_z
Pk0,kmin-0.0_kmax-0.2,k<0.2,34,4.5105,3.007,1,1.4645839162843524,1.4645839162843524,1.4645839162843524
Pk0,kmin-0.0_kmax-0.2,k<0.2,35,0.0,3.75875,1,1.404770515891764,1.404770515891764,1.404770515891764
Pk0,kmin-0.0_kmax-0.2,k<0.2,36,0.75175,3.75875,1,1.4218772449383794,1.4218772449383794,1.4218772449383794
Pk0,kmin-0.0_kmax-0.2,k<0.2,37,1.5035,3.75875,1,1.4218082252662594,1.4218082252662594,1.4218082252662594
Pk0,kmin-0.0_kmax-0.2,k<0.2,38,2.25525,3.75875,1,1.4819463266329824,1.4819463266329824,1.4819463266329824
Pk0,kmin-0.0_kmax-0.2,k<0.2,39,3.007,3.75875,1,1.4309240828394285,1.4309240828394285,1.4309240828394285
Pk0,kmin-0.0_kmax-0.2,k<0.2,40,3.75875,3.75875,1,1.4701229238143592,1.4701229238143592,1.4701229238143592
Pk0,kmin-0.0_kmax-0.2,k<0.2,41,4.5105,3.75875,1,1.6490665979136012,1.6490665979136012,1.6490665979136012
Pk0,kmin-0.0_kmax-0.2,k<0.2,42,0.0,4.5105,1,1.4748514329818805,1.4748514329818805,1.4748514329818805
Pk0,kmin-0.0_kmax-0.2,k<0.2,43,0.75175,4.5105,1,1.4004401698843778,1.4004401698843778,1.4004401698843778
Pk0,kmin-0.0_kmax-0.2,k<0.2,44,1.5035,4.5105,1,1.42927733020869,1.42927733020869,1.42927733020869
Pk0,kmin-0.0_kmax-0.2,k<0.2,45,2.25525,4.5105,1,1.4662147105010572,1.4662147105010572,1.4662147105010572
Pk0,kmin-0.0_kmax-0.2,k<0.2,46,3.007,4.5105,1,1.6334034165685036,1.6334034165685036,1.6334034165685036
Pk0,kmin-0.0_kmax-0.2,k<0.2,47,3.75875,4.5105,1,1.6142755601873942,1.6142755601873942,1.6142755601873942
Pk0,kmin-0.0_kmax-0.2,k<0.2,48,4.5105,4.5105,1,1.6538790384572901,1.6538790384572901,1.6538790384572901
Pk0,kmin-0.0_kmax-0.4,k<0.4,0,0.0,0.0,1,1.783283948750327,1.783283948750327,1.783283948750327
Pk0,kmin-0.0_kmax-0.4,k<0.4,1,0.75175,0.0,1,1.8387383456129966,1.8387383456129966,1.8387383456129966
Pk0,kmin-0.0_kmax-0.4,k<0.4,2,1.5035,0.0,1,1.7513484169499856,1.7513484169499856,1.7513484169499856
Pk0,kmin-0.0_kmax-0.4,k<0.4,3,2.25525,0.0,1,1.7717102792074715,1.7717102792074715,1.7717102792074715
Pk0,kmin-0.0_kmax-0.4,k<0.4,4,3.007,0.0,1,1.7915894688054366,1.7915894688054366,1.7915894688054366
Pk0,kmin-0.0_kmax-0.4,k<0.4,5,3.75875,0.0,1,1.789940180145894,1.789940180145894,1.789940180145894
Pk0,kmin-0.0_kmax-0.4,k<0.4,6,4.5105,0.0,1,1.710630052540752,1.710630052540752,1.710630052540752
Pk0,kmin-0.0_kmax-0.4,k<0.4,7,0.0,0.75175,1,1.7543884286952365,1.7543884286952365,1.7543884286952365
Pk0,kmin-0.0_kmax-0.4,k<0.4,8,0.75175,0.75175,1,1.7810761517929807,1.7810761517929807,1.7810761517929807
Pk0,kmin-0.0_kmax-0.4,k<0.4,9,1.5035,0.75175,1,1.7725056383244542,1.7725056383244542,1.7725056383244542
Pk0,kmin-0.0_kmax-0.4,k<0.4,10,2.25525,0.75175,1,1.8857216402151578,1.8857216402151578,1.8857216402151578
Pk0,kmin-0.0_kmax-0.4,k<0.4,11,3.007,0.75175,1,1.7490996770414526,1.7490996770414526,1.7490996770414526
Pk0,kmin-0.0_kmax-0.4,k<0.4,12,3.75875,0.75175,1,1.7772260060276235,1.7772260060276235,1.7772260060276235
Pk0,kmin-0.0_kmax-0.4,k<0.4,13,4.5105,0.75175,1,1.695781463314551,1.695781463314551,1.695781463314551
Pk0,kmin-0.0_kmax-0.4,k<0.4,14,0.0,1.5035,1,1.6564985412271969,1.6564985412271969,1.6564985412271969
Pk0,kmin-0.0_kmax-0.4,k<0.4,15,0.75175,1.5035,1,1.7318997619360506,1.7318997619360506,1.7318997619360506
Pk0,kmin-0.0_kmax-0.4,k<0.4,16,1.5035,1.5035,1,1.7241865143088908,1.7241865143088908,1.7241865143088908
Pk0,kmin-0.0_kmax-0.4,k<0.4,17,2.25525,1.5035,1,1.7321130538848863,1.7321130538848863,1.7321130538848863
Pk0,kmin-0.0_kmax-0.4,k<0.4,18,3.007,1.5035,1,1.6635113952732996,1.6635113952732996,1.6635113952732996
Pk0,kmin-0.0_kmax-0.4,k<0.4,19,3.75875,1.5035,1,1.515425478309778,1.515425478309778,1.515425478309778
Pk0,kmin-0.0_kmax-0.4,k<0.4,20,4.5105,1.5035,1,1.6468048616785729,1.6468048616785729,1.6468048616785729
Pk0,kmin-0.0_kmax-0.4,k<0.4,21,0.0,2.25525,1,1.5657939243275159,1.5657939243275159,1.5657939243275159
Pk0,kmin-0.0_kmax-0.4,k<0.4,22,0.75175,2.25525,1,1.6843886705720446,1.6843886705720446,1.6843886705720446
Pk0,kmin-0.0_kmax-0.4,k<0.4,23,1.5035,2.25525,1,1.6349825516768732,1.6349825516768732,1.6349825516768732
Pk0,kmin-0.0_kmax-0.4,k<0.4,24,2.25525,2.25525,1,1.5889979777485155,1.5889979777485155,1.5889979777485155
Pk0,kmin-0.0_kmax-0.4,k<0.4,25,3.007,2.25525,1,1.525009758152744,1.525009758152744,1.525009758152744
Pk0,kmin-0.0_kmax-0.4,k<0.4,26,3.75875,2.25525,1,1.6063274018608353,1.6063274018608353,1.6063274018608353
Pk0,kmin-0.0_kmax-0.4,k<0.4,27,4.5105,2.25525,1,1.7471092847732324,1.7471092847732324,1.7471092847732324
Pk0,kmin-0.0_kmax-0.4,k<0.4,28,0.0,3.007,1,1.4787759942015548,1.4787759942015548,1.4787759942015548
Pk0,kmin-0.0_kmax-0.4,k<0.4,29,0.75175,3.007,1,1.5719887016602885,1.5719887016602885,1.5719887016602885
Pk0,kmin-0.0_kmax-0.4,k<0.4,30,1.5035,3.007,1,1.4236911332031772,1.4236911332031772,1.4236911332031772
Pk0,kmin-0.0_kmax-0.4,k<0.4,31,2.25525,3.007,1,1.4823456033609272,1.4823456033609272,1.4823456033609272
Pk0,kmin-0.0_kmax-0.4,k<0.4,32,3.007,3.007,1,1.4900519424133014,1.4900519424133014,1.4900519424133014
Pk0,kmin-0.0_kmax-0.4,k<0.4,33,3.75875,3.007,1,1.6394557016206595,1.6394557016206595,1.6394557016206595
Pk0,kmin-0.0_kmax-0.4,k<0.4,34,4.5105,3.007,1,1.7831101406724532,1.7831101406724532,1.7831101406724532
Pk0,kmin-0.0_kmax-0.4,k<0.4,35,0.0,3.75875,1,1.5453587106061493,1.5453587106061493,1.5453587106061493
Pk0,kmin-0.0_kmax-0.4,k<0.4,36,0.75175,3.75875,1,1.4987403652925597,1.4987403652925597,1.4987403652925597
Pk0,kmin-0.0_kmax-0.4,k<0.4,37,1.5035,3.75875,1,1.5596845338027476,1.5596845338027476,1.5596845338027476
Pk0,kmin-0.0_kmax-0.4,k<0.4,38,2.25525,3.75875,1,1.6141127485433129,1.6141127485433129,1.6141127485433129
Pk0,kmin-0.0_kmax-0.4,k<0.4,39,3.007,3.75875,1,1.674161208433895,1.674161208433895,1.674161208433895
Pk0,kmin-0.0_kmax-0.4,k<0.4,40,3.75875,3.75875,1,1.8423219754176252,1.8423219754176252,1.8423219754176252
Pk0,kmin-0.0_kmax-0.4,k<0.4,41,4.5105,3.75875,1,1.9728951935977403,1.9728951935977403,1.9728951935977403
Pk0,kmin-0.0_kmax-0.4,k<0.4,42,0.0,4.5105,1,1.8000290606220974,1.8000290606220974,1.8000290606220974
Pk0,kmin-0.0_kmax-0.4,k<0.4,43,0.75175,4.5105,1,1.8024283049992968,1.8024283049992968,1.8024283049992968
Pk0,kmin-0.0_kmax-0.4,k<0.4,44,1.5035,4.5105,1,1.7620938220885531,1.7620938220885531,1.7620938220885531
Pk0,kmin-0.0_kmax-0.4,k<0.4,45,2.25525,4.5105,1,1.9383451379191035,1.9383451379191035,1.9383451379191035
Pk0,kmin-0.0_kmax-0.4,k<0.4,46,3.007,4.5105,1,1.9493778601077318,1.9493778601077318,1.9493778601077318
