summary,kcut,klabel,noise_id,sigma_rad,sigma_tran,n_points,mean_z,min_z,max_z
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",16,1.5035,1.5035,5,1.5265714084237043,0.6186389850506285,2.5332327076789745
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",24,2.25525,2.25525,5,1.3925283964433954,0.622627106684241,2.1772942275762004
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",8,0.75175,0.75175,5,3.2227567029350284,1.4297294422370965,4.63445124767862
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",16,1.5035,1.5035,5,3.19385556010215,1.3815180978070738,4.4610861896896905
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",24,2.25525,2.25525,5,2.775646755624448,1.2807527661765779,4.2959814146081685
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",8,0.75175,0.75175,5,2.7575676238165685,1.049258510970588,5.843942174435089
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",16,1.5035,1.5035,5,2.7255665137457683,0.9942655655782101,5.795948615734329
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",24,2.25525,2.25525,5,2.7140833959042117,1.0992054720092308,5.595288003199164
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",8,0.75175,0.75175,5,2.193270793001306,0.8347100644671362,3.418410088140248
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",16,1.5035,1.5035,5,3.3766859167511156,1.9246432752377212,4.798268479649487
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",24,2.25525,2.25525,5,2.8094316956984438,1.8193587257330444,4.162240646673535
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",8,0.75175,0.75175,5,1.662865281925773,0.8476133679753846,2.8669012316401603
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",16,1.5035,1.5035,5,1.6138830838928633,0.8197670615455968,2.6119748946926835
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",24,2.25525,2.25525,5,1.5776046248083613,0.853191073596969,2.415035155205949
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",8,0.75175,0.75175,5,3.514122088769951,1.9383626442942423,5.035573794287762
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",16,1.5035,1.5035,5,3.436233552397342,2.024567258778164,5.00000869966973
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",24,2.25525,2.25525,5,3.0483425071742603,1.7637730869932209,4.504372390652128
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",8,0.75175,0.75175,5,2.71386954378188,0.2946591799926783,5.768090894027736
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",16,1.5035,1.5035,5,2.846279958971503,0.7284362700621395,5.84200685171551
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",24,2.25525,2.25525,5,2.951817101273553,0.9590773925063943,6.128383189888608
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",8,0.75175,0.75175,5,3.0924787953888186,1.5082081728790853,3.6583877151351167
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",16,1.5035,1.5035,5,3.191249156489574,3.0155190761058694,3.3331342908541925
zPk0+zPk2+zPk4+zSqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",24,2.25525,2.25525,5,2.483060244621222,1.8917161322289013,3.235807490413142
